index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_9.jpg1,#221c19',34,28,25,11.53154196,42.90721365,66.96289183,89.23019455,59.39706496,109.3298941,69.12208013,127.8786701,79.68488477,141.9157171,50.02742438,96.31674373,81.57680313,136.7508146,101.5858557,71.68963859,125.4965157,52.18238265
Horror_9.jpg2,#dbdad9',219,218,217,87.10328813,33.52194811,9.417765567,12.9144097,86.52229657,109.4119976,67.50351404,96.87543828,82.40050192,119.4753572,49.32306673,50.6040856,109.5517655,144.9641011,82.77139117,90.08384605,118.7874781,69.17011524
Horror_9.jpg3,#79736b',121,115,107,49.0332889,7.185389506,29.44236657,51.52944071,62.02669296,100.7263667,53.32189994,103.9427773,68.96485304,123.1253317,32.67085847,67.53043122,91.40079199,138.5995799,81.56606804,74.03119001,118.2979997,45.40609347
Horror_13.jpg2,#5a564e',90,86,78,37.07585121,17.67439077,41.33321796,63.51199361,59.21811521,102.5769845,55.17552758,109.9234592,69.00818945,126.9394354,33.99375519,75.17434892,87.79357514,138.116239,86.40814159,72.50639854,120.6886208,44.44905477
Horror_13.jpg3,#090a08',9,10,8,2.778926052,50.94840632,75.06549131,97.35997174,65.44060914,116.1390595,75.58944894,134.8033416,83.31050938,146.2327929,54.45267347,101.520841,81.78100659,137.8956406,109.3303593,75.19138981,129.8676595,59.71800926
Horror_27.jpg3,#695d4a',105,93,74,42.11632339,18.57551609,39.70045257,61.22879126,54.91844667,96.48060156,47.76787269,102.3361188,65.25241111,122.2037412,37.94039538,76.06038171,94.01746343,143.6077697,78.10666561,76.27237043,123.1280079,37.75794538
Horror_13.jpg1,#dcdcdb',220,220,219,87.73684935,34.15428781,10.04445709,12.2757836,87.21403695,109.9309307,67.87179653,96.85316755,82.57660743,119.3120585,49.60535409,50.19861307,110.0570804,145.3002298,83.07888086,90.66038301,119.1501247,69.82535866
Horror_22.jpg2,#29170e',41,23,14,15.56049578,45.27880751,68.83437022,90.87225799,51.96502698,102.3521118,66.76670827,125.5646698,80.81201691,142.789121,55.88462635,101.2825007,83.81092023,138.7942335,96.79452778,71.27186531,124.8875691,46.08062809
Horror_22.jpg3,#dddcdb',221,220,219,87.81318215,34.23172518,10.12613511,12.20533028,87.029517,109.6346701,67.87760138,96.80545931,82.75541803,119.4742527,49.88374517,50.5521451,110.032841,145.2332975,82.87984021,90.53693225,118.9491901,69.68200971
Horror_22.jpg1,#9d613d',157,97,61,59.76609382,37.43767168,47.94579216,64.52152979,35.59789039,70.08668821,42.90276984,91.5975964,74.96873516,125.9276305,63.05360653,93.09148598,104.5995838,150.9295524,56.00296315,79.02769717,120.5264532,15.31909542
Horror_1.jpg1,#dcdcdc',220,220,220,87.76087461,34.17587437,10.0564743,12.23912576,87.34543131,110.106182,68.32499269,97.3656707,82.99512353,119.7811562,49.64366258,50.22829457,109.7072342,144.8469264,83.49387837,90.3609123,118.7561554,70.06091005
Horror_1.jpg2,#585a58',88,90,88,38.03586215,15.65088452,39.72650896,62.01191161,62.9693079,106.0332293,58.67967068,112.5716226,70.84655799,128.3212308,30.91261073,72.40110919,85.44582786,135.3595095,89.95681055,71.2846697,119.1512076,48.72607322
Horror_1.jpg3,#0e0f0e',14,15,14,4.261852233,49.37319729,73.49129641,95.78627671,65.05858458,115.6154139,74.80714994,133.9227005,82.69841059,145.5132967,53.1083213,100.1244824,81.33779335,137.3104889,108.5085791,74.46411292,129.010275,59.00816339
Horror_10.jpg3,#524d4d',82,77,77,33.28823121,20.48635035,44.54219435,66.81981311,59.7170565,104.4366782,60.84209461,115.8936449,74.00150173,132.5000435,35.58450357,78.02516006,82.20371407,133.2074203,91.3004773,68.05633045,117.3679214,47.24533965
Horror_10.jpg2,#dbdbdb',219,219,219,87.40602265,33.82102241,9.701622342,12.59397772,87.0929721,109.9954234,68.13923097,97.40046413,82.8180998,119.781588,49.36174481,50.25323967,109.4656542,144.7114447,83.44007823,90.13365595,118.6746853,69.80660818
Horror_10.jpg1,#080606',8,6,6,1.84680732,51.82633646,75.94479331,98.23993352,65.25085023,116.0700613,76.70008657,135.9249988,84.70951865,147.6400681,55.66931156,102.7206581,80.89244571,137.0983343,110.0273883,74.4425131,129.2304647,60.09344046
