index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
action_0.jpg1,#4a2724',74,39,36,27.35433216,38.16864978,60.41493448,81.92740854,43.45303731,92.54533535,64.02850814,120.8837201,83.21201225,143.1376616,55.7950822,98.41185426,80.6220248,133.5407769,89.04885526,63.38397187,115.1941543,37.67513835
action_0.jpg2,#e0a13c',224,161,60,93.25287462,63.22641438,61.29298862,67.59541815,60.20852912,68.59548052,33.10801766,56.81128868,70.90945263,104.6381131,83.2809211,98.38110948,140.6547217,183.3008889,22.42616675,113.2407908,146.870658,39.76402607
action_0.jpg3,#dfddd7',223,221,215,88.17414273,34.67911376,10.89264522,12.30753946,86.4774292,108.5903217,65.83345666,94.16352018,81.06529723,117.3185723,50.34791553,50.83489991,112.0114791,147.5676859,80.665764,92.1594811,120.8063856,68.6597526
action_1.jpg1,#281714',40,23,20,13.95879134,44.76724409,68.5029743,90.62429881,53.80911299,104.2088715,69.4233051,128.0679756,82.86324397,144.8454309,55.07574178,100.6991091,80.5796226,135.6838622,99.33812264,68.86068228,122.7413116,48.4941161
action_1.jpg2,#b2693b',178,105,59,68.76760942,45.37857321,52.26525302,66.24277184,34.82804603,62.41591418,42.44152986,86.33238087,77.91146114,125.4452818,71.11959052,97.97409114,111.8288602,156.5783347,47.28797761,84.51463264,123.0906337,14.65995773
action_1.jpg3,#e3c19e',227,193,158,83.44100503,35.2802095,23.35014742,30.5533609,70.13420756,89.96870808,48.90160527,79.62539035,73.28037907,111.6804866,56.92531059,66.87546628,117.0075464,156.1907595,59.51139185,93.09539899,124.8805024,50.53555136
action_10.jpg1,#dddcda',221,220,218,87.79240854,34.21820267,10.140902,12.2638361,86.89995957,109.4599701,67.42556412,96.29284899,82.33981061,119.0070964,49.85203102,50.52940649,110.3837168,145.6866883,82.46439761,90.83804136,119.343733,69.4484817
action_10.jpg2,#a78959',167,137,89,66.18494432,30.80296678,35.75404252,51.16459117,55.07311789,84.08004236,32.88130056,79.58400635,61.33543522,109.4052998,52.2343147,76.1329743,113.465554,158.7836075,54.97386286,90.4120134,130.1990329,32.25735125
action_10.jpg3,#4a3331',74,51,49,26.41817659,31.88138357,55.08141965,77.03113992,50.11846411,97.92158593,62.81239529,119.6312019,79.35880258,139.2839767,47.99682332,91.05768941,80.20579094,132.9565282,90.63683887,64.63226739,116.1549905,41.48282408
action_11.jpg1,#dddcdc',221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
action_11.jpg2,#9e683e',158,104,62,61.04433321,36.83367369,46.52135994,62.81358447,39.1148001,72.07293605,38.94669271,87.79312751,71.21083936,121.6524797,61.47478743,90.52941141,107.7074488,154.0680708,53.91269809,82.61344755,123.8956907,17.10486287
action_11.jpg3,#382413',56,36,19,23.31756442,40.90594174,63.68601142,85.40028784,47.74307409,96.91605191,58.36341477,116.9499968,74.73423281,135.9281697,53.67285947,97.55970546,89.42030869,143.3437301,88.33159443,74.25251643,126.4266135,38.60268345
action_12.jpg1,#0e0f10',14,15,16,4.314968035,49.32177322,73.43981739,95.7347715,65.35020124,115.9151753,75.57950077,134.6384538,83.48935816,146.2594934,53.10506843,100.1145981,80.33093399,136.3136534,109.1104493,73.67303023,128.2454333,59.49933037
action_12.jpg2,#dddddd',221,221,221,88.11542344,34.5304232,10.41102313,11.88457693,87.59838383,110.2178758,68.51192829,97.33218663,83.17313178,119.7817746,49.92626856,50.20586333,109.9492215,144.9830334,83.54910316,90.58879338,118.8385583,70.31586464
action_12.jpg3,#757576',117,117,118,49.27140938,4.356662164,28.44252157,50.73546924,65.90015822,104.8270395,58.77410466,108.6101752,72.44529347,126.3073185,30.12554219,65.32336045,87.57913824,134.3236052,86.84741396,71.55376438,115.613126,50.52634634
action_13.jpg1,#ccd3d2',204,211,210,84.04641653,30.53101496,6.810095858,16.19999181,86.33651535,111.0836382,66.26615897,97.59070923,79.78625314,118.2479223,45.11516765,48.0972362,108.1426686,144.6314267,84.08796561,89.59769458,119.9160945,68.66087633
action_13.jpg2,#70797a',112,121,122,50.25332143,4.971077419,27.80830659,50.00137313,69.3219237,108.0981228,59.22244234,108.6317428,70.96619981,124.5649487,26.6482089,62.08486904,88.96005301,135.5201956,88.6198241,74.00167672,117.8001005,53.45549325
action_13.jpg3,#1b1f23',27,31,35,12.00992611,42.20979915,66.27884217,88.55226839,65.48392005,115.0977185,73.34535794,131.6601865,81.47560351,143.5255985,46.5544771,93.25337435,78.05913582,133.2032576,106.7773736,70.64513669,124.418557,58.10235412
action_14.jpg1,#d7dcdd',215,220,221,87.43351503,33.87941667,9.883917334,12.7210262,88.40765617,111.7513533,68.77808145,98.12894948,82.55551619,119.464912,48.32964665,48.51734836,109.5002084,144.7433633,84.90027848,90.70029621,119.3780704,71.02797927
action_14.jpg2,#508397',80,131,151,55.64687512,19.78995776,32.37765722,51.86692064,84.68924709,123.7615436,72.74486776,119.8083973,77.47018848,129.2446449,19.32372962,53.58704873,85.85144547,130.5303984,103.9407924,76.60817236,118.7840068,70.01928927
action_14.jpg3,#07222f',7,34,47,17.29175558,43.50585883,66.96512308,88.96506272,73.76554922,122.9628989,79.48903449,137.0684811,84.5756972,146.1021015,43.67197326,90.28135012,74.57829218,129.4043637,113.9723918,70.73414297,124.052576,66.26233869
action_15.jpg1,#4d6771',77,103,113,43.41133888,16.11263621,37.4487105,59.10695228,74.04247189,116.0520837,66.41804832,117.940012,73.87552748,129.6950219,22.7855821,64.32827689,83.29811389,131.6880732,98.63089194,72.51756017,118.8119085,60.04851189
action_15.jpg2,#c8d0d3',200,208,211,83.02691229,29.55695847,6.178551917,17.34235935,86.35405634,111.7867256,67.65490289,99.84923938,80.8915177,120.0604341,44.20240802,48.0970612,106.0260102,142.4725847,85.83716466,87.85416222,118.3215599,69.08126402
action_15.jpg3,#16232b',22,35,43,15.02399269,41.40173059,65.25516993,87.43480386,69.28645076,118.5159731,75.39776378,133.2639802,82.06165302,143.7892147,43.83216699,90.56475782,76.58683278,131.451593,109.4332525,70.56737173,124.0066284,61.48257363
action_16.jpg1,#1a1615',26,22,21,7.968395709,45.9820493,70.08316756,92.37035781,61.72727628,112.0344511,72.32372498,131.2345459,81.8578855,144.3602268,51.77521675,98.42842168,80.53374404,136.1379097,105.06988,72.05363917,126.2981525,55.39971005
action_16.jpg2,#dbdbdb',219,219,219,87.40602265,33.82102241,9.701622342,12.59397772,87.0929721,109.9954234,68.13923097,97.40046413,82.8180998,119.781588,49.36174481,50.25323967,109.4656542,144.7114447,83.44007823,90.13365595,118.6746853,69.80660818
action_16.jpg3,#645b51',100,91,81,39.89031487,16.11686063,39.17408511,61.22023098,57.3432412,99.72821385,53.25168824,107.4118787,68.8555473,126.0175391,35.50868902,75.02390155,89.07139387,138.7613996,83.2587047,72.49111441,119.8496085,41.96630849
action_17.jpg1,#261315',38,19,21,13.44437939,46.37497143,70.0820463,92.18696049,54.61020079,105.2009988,73.06351879,131.5578323,86.51973773,148.5061192,56.84779773,102.5297082,77.16874606,132.4935846,102.1513759,66.10486966,120.3611125,50.7768105
action_17.jpg2,#dbdbdb',219,219,219,87.40602265,33.82102241,9.701622342,12.59397772,87.0929721,109.9954234,68.13923097,97.40046413,82.8180998,119.781588,49.36174481,50.25323967,109.4656542,144.7114447,83.44007823,90.13365595,118.6746853,69.80660818
action_17.jpg3,#a24c30',162,76,48,63.64379905,48.25734645,58.54852321,74.01910199,23.16541828,58.69764332,52.90148169,98.7782396,86.93856602,137.3266732,75.09997203,105.8797245,103.1406743,148.4743856,56.8385257,75.1528538,115.3293028,11.94423291
action_18.jpg1,#0c1510',12,21,16,7.525038525,47.92630254,71.96878925,94.228264,66.71809339,116.8753502,72.15820558,131.2438726,78.6695409,141.5237708,49.98818614,97.09435028,84.57557617,140.3150914,107.3795346,77.69613407,131.9170619,59.04702002
action_18.jpg2,#537564',83,117,100,49.30139665,18.48009067,35.71206933,56.33318609,74.83766019,114.4628528,51.57962563,102.636854,56.93495759,112.5608039,19.0396546,58.48258187,100.3914209,148.7254223,88.40700081,87.51522336,132.8931669,56.06908016
action_18.jpg3,#c5d7ca',197,215,202,84.88196385,32.20059199,11.6068372,18.32012283,88.25758021,112.9694252,61.75545506,91.97762619,73.46740773,110.7557541,43.38402143,44.23274873,113.9924537,151.6015996,81.88285819,95.84729172,127.3203384,68.98461588
action_19.jpg1,#8a6555',138,101,85,50.1022682,20.92028461,37.13391657,57.30509766,47.04702933,85.64173953,49.31773285,100.518885,73.24715681,127.1224955,47.6727567,80.96113035,93.01435219,140.3244926,71.12662233,71.06720015,115.1631316,30.75020229
action_19.jpg2,#dedcd7',222,220,215,87.82774223,34.30758958,10.43674417,12.50818896,86.34024016,108.6448904,66.08414424,94.70798673,81.28848095,117.7784238,50.07531665,50.85526089,111.4201661,146.9819147,81.01947343,91.62914846,120.3303993,68.62000028
action_19.jpg3,#190c09',25,12,9,7.170040238,49.48789538,73.50133471,95.74637776,59.54916184,110.3449426,73.78655056,132.8756281,84.47023833,147.1099518,56.42431662,102.9749786,80.52752354,136.414763,105.3825993,71.67052267,126.2400829,54.80263231
action_2.jpg1,#bc8560',188,133,96,68.56556148,33.5328978,37.26456193,51.64993188,47.69894867,74.67005799,41.88258577,84.9269717,73.1016832,119.8481184,59.76616418,83.42422223,108.7383411,152.3755154,53.24699948,83.07605942,120.7778175,27.75682927
action_2.jpg2,#deddda',222,221,218,88.12933843,34.56688257,10.53267081,11.99238858,87.02803609,109.4000752,67.16641016,95.74758822,82.10704729,118.5424554,50.10773406,50.49023333,110.9747103,146.2741522,82.10719212,91.36610872,119.8196765,69.47654422
action_2.jpg3,#4b322f',75,50,47,26.78781498,32.53224946,55.55092089,77.42737592,48.82085313,96.73611898,62.33817419,119.1805375,79.45386729,139.3431254,49.07025927,91.95929108,80.74789075,133.4698613,89.76837344,64.75194309,116.2286818,40.32167571
action_20.jpg1,#797675',121,118,117,49.88344402,3.954966257,27.87145792,50.15264917,64.70791831,103.2694228,57.46107804,107.1844904,71.97520025,125.646841,31.28796575,65.82486873,88.54041217,135.1733076,85.09113169,71.88385435,115.7241967,49.05327139
