index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
animation_9.jpg1,#5388b2',83,136,178,61.48349529,28.0508698,36.24503959,53.25001943,89.49848102,127.616832,84.55501649,130.1441868,90.56633771,140.9228574,30.84220207,57.63163802,77.00809568,118.8438401,112.2606854,69.61356302,109.0469408,77.48406739
animation_2.jpg2,#a75052',167,80,82,59.75681102,40.20530414,51.09719154,67.56504383,31.94143049,68.22397723,64.06528084,110.4878832,94.04397546,145.8628618,69.28098004,100.4171654,87.44950368,131.6544827,70.86941488,59.14688101,99.95528343,27.93116131
animation_2.jpg3,#dcdbda',220,219,218,87.4583873,33.87698806,9.772074011,12.559706,86.77566082,109.5228639,67.68996654,96.83979059,82.57746433,119.4742779,49.60304792,50.57686466,109.7920955,145.0983846,82.82489724,90.31007261,118.867866,69.42573739
animation_2.jpg1,#2e3165',46,49,101,41.40108394,46.37881238,64.97601705,84.68192469,76.78574866,121.8659218,96.70330645,150.5644761,107.5992204,165.9741424,55.59172446,94.59869989,47.69024243,100.4529768,122.2254596,44.8107983,96.02891433,74.55573465
animation_5.jpg3,#567b77',86,123,119,50.83929621,14.84202337,32.09741443,53.04532876,77.39064051,116.826977,58.77247602,108.1664901,64.25268008,118.282509,16.27267115,55.67586354,94.82237103,141.9485989,93.10093325,82.82554176,127.1667135,60.06193205
animation_5.jpg2,#dbdad6',219,218,214,87.05084197,33.50704603,9.558013784,13.14636143,86.13895375,108.8911174,66.14144144,95.33679668,81.15175995,118.0745807,49.24625747,50.55553118,110.6150433,146.330273,81.5243515,90.99889204,119.9766597,68.47248474
animation_5.jpg1,#161a1d',22,26,29,9.434872815,44.70420525,68.79043188,91.07098501,65.91112604,115.87683,74.23036697,132.8274761,82.0092641,144.3469727,48.48021707,95.35349351,78.81497187,134.2824624,107.9055764,71.87980365,125.9537047,58.95881925
animation_4.jpg1,#dcdcda',220,220,218,87.71606689,34.14081644,10.05971025,12.33432091,87.08515808,109.7572354,67.41962532,96.34069871,82.15968605,118.8437916,49.57310874,50.17512977,110.4081921,145.7538066,82.66468186,90.96155718,119.544604,69.59260704
animation_4.jpg2,#140c0c',20,12,12,4.985735469,49.71911748,73.80829024,96.08943867,62.28827889,113.0265323,75.12401323,134.2218802,84.5782794,147.3070145,55.29221194,102.0812522,79.9534388,135.952112,107.5012289,72.2287316,126.8780367,57.24565018
animation_4.jpg3,#af6e68',175,110,104,60.54441178,28.83355368,37.81273377,54.93480718,43.17428969,76.38756409,57.04110151,102.7182942,84.98503912,135.4028778,58.72222209,87.13264111,91.3610188,135.1311293,68.31240419,65.28965911,105.0089421,31.12415553
