index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
comedy_26.jpg3,#dadcdd',218,220,221,87.64092056,34.06284137,9.970900191,12.39467907,87.84820522,110.870941,68.77345571,97.97580631,83.06704169,119.9338338,49.13905356,49.56285162,109.4107741,144.5303863,84.30441617,90.3139636,118.7668904, 70.5868439313739]
comedy_25.jpg2,#9e97b8',158,151,184,66.70898378,21.37912715,23.10731612,40.49524538,77.00737457,109.9447897,77.13294409,119.5451302,91.65334753,139.7980919,41.95885646,63.43965463,80.16036211,119.5985933,96.87380542,63.66868898,99.62143091, 65.34593051628518]
comedy_25.jpg3,#dfdfe3',223,223,227,88.951407,35.40327096,11.41403523,11.26692338,88.65136876,111.1574796,70.69423341,99.31728872,85.20784666,121.6665586,50.70493007,50.35073303,109.0617405,143.4573321,85.32524654,89.87917727,117.4438684, 71.78602868153352]
comedy_25.jpg1,#42404f',66,64,79,29.48950553,27.56372821,50.83793901,72.84301155,64.00767455,110.1704102,71.81834161,127.0158643,83.2246739,142.2953604,39.04607742,82.41906681,72.1736454,124.2468588,101.4325012,61.19703928,112.1230755, 55.22143936663694]
comedy_2.jpg2,#dbd8d7',219,216,215,86.55098446,32.97948972,8.919229674,13.51060493,85.64259569,108.593625,67.14839129,96.8557063,82.41326457,119.8071728,49.33794746,51.37228936,109.0260385,144.564588,82.26729328,89.38500337,118.2255339, 68.37000059376612]
comedy_2.jpg3,#be0a0b',190,10,11,90.01294094,81.84171973,89.10733556,100.6136375,24.13716409,27.46085629,77.39881204,111.5295834,115.1251246,160.3548407,109.4647672,138.3626328,118.9618678,158.9433805,60.0523483,87.28322056,118.0936653, 38.00079903824426]
comedy_2.jpg1,#2d1e1e',45,30,30,15.29536806,41.23593902,65.07423127,87.24752337,55.21118443,105.0702206,69.31534143,127.6012757,82.40037647,144.0775069,51.70140861,97.18707367,78.64101603,133.4211544,99.40664057,67.02511905,120.6452562, 49.08244906846559]
comedy_26.jpg1,#464351',70,67,81,30.57967298,26.04966527,49.36909535,71.39953235,63.42395016,109.245571,70.66068802,125.6390726,82.43144785,141.2657991,38.43154474,81.49011489,73.03351904,124.7899619,100.0893922,61.4537133,112.0320132, 54.237390123224]
comedy_4.jpg1,#efeaeb',239,234,235,93.11809559,39.55816798,15.50668815,7.145690874,90.2170631,110.5089769,71.5459999,97.31805585,86.85679581,121.1636923,55.01843478,51.96472523,112.7142027,146.0659254,83.86855648,92.76755506,118.6482872, 73.28298213280078]
comedy_4.jpg2,#613432',97,52,50,35.35430796,34.46167449,55.07928702,75.99410972,39.64330211,86.8401003,61.9880782,117.0302024,84.04874763,142.2446071,56.2358352,96.32776531,81.07975461,132.1679155,83.71765688,60.86150286,110.7206889, 33.07230640489241]
