index,['html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown']
impressionism_5.jpg3,['#2e362c', (46,54, 44),22.9251846,32.9226576,56.65153172,78.79734118,63.17624245,110.5407612,60.18351995,118.0480513,68.69961528,130.1225995,37.82714322,83.66154849,88.27199816,141.7942998,95.7671539,77.36867554,129.1110735, 50.70976938542147]
impressionism_18.jpg1,['#83803b', (131,128, 59),64.99730013,38.35894374,45.8942426,61.0573588,62.8856806,93.7511541,19.80452138,73.64861695,45.16952968,96.63508919,50.18842439,75.40511297,123.0346994,170.9500236,57.49642277,102.6984836,145.4168782, 38.45241048515711]
impressionism_18.jpg2,['#4e3b1d', (78,59, 29),34.2590228,35.07913486,55.94911378,76.94973543,46.78046018,92.51051469,46.72304679,104.9011473,65.82237023,125.5167113,49.83540846,90.67449912,97.42275785,149.6866551,77.76019397,79.82921964,129.5462742, 31.52246763546427]
impressionism_18.jpg3,['#b2b691', (178,182, 145),75.55642782,27.7656643,20.55486446,33.69378222,75.75587403,102.377153,43.95617729,81.03211212,60.27598895,102.8043947,42.12045888,54.94914942,116.3957813,158.5845423,68.35607415,96.51881634,132.9239985, 54.14172890676569]
impressionism_3.jpg3,['#b36e1f', (179,110, 31),77.05424571,56.15958719,61.44228548,73.37770437,40.52906573,60.63776426,34.68906146,75.01861402,73.43399267,117.3805062,78.69460214,103.2571869,125.9451537,171.1240552,35.05694818,98.74033665,136.6324814, 19.45912625736327]
impressionism_3.jpg2,['#3d2c19', (61,44, 25),25.2940263,37.71688069,60.40753107,82.11010669,49.01209684,97.27504503,55.52280837,114.0388021,71.63652544,132.6176979,50.42198314,93.91812202,90.81394557,144.3363755,86.48870056,75.44691461,127.0771133, 37.943931756898586]
impressionism_3.jpg1,['#d3cbae', (211,203, 174),83.10750977,32.09532838,16.09556798,24.10764717,78.49496487,101.1006591,51.98680085,82.85209331,70.05582543,108.2008603,49.0724303,55.58871444,116.5909816,155.6879037,68.89446684,95.40064249,127.7689319, 58.394663697685246]
impressionism_2.jpg1,['#ceb7ad', (206,183, 173),76.78224129,24.78230129,10.54152783,26.09547149,71.9256456,97.07160608,57.68831634,93.27419017,77.68381362,119.9136423,47.97902192,60.88021194,104.6636532,143.6407718,72.97756363,82.8897,115.7568958, 54.479913774951804]
impressionism_2.jpg2,['#698283', (105,130, 131),53.34997515,9.452520698,26.88177807,48.4032434,75.35051059,113.5243842,60.34956466,108.4458743,68.8587026,121.4914359,21.17030227,56.15019289,92.01458209,137.9210829,91.48490662,78.60303226,121.5829474, 58.67379577437935]
impressionism_2.jpg3,['#9ca099', (156,160, 153),65.49867438,12.50219635,13.03126741,34.88770445,73.39934013,105.4347872,56.13843312,98.5160819,70.33385919,117.7502606,33.28314436,54.90946069,99.37268477,141.8889438,80.94095544,81.50480221,119.6643955, 55.34786777267448]
impressionism_20.jpg3,['#899895', (137,152, 149),61.89378575,9.992347263,17.16554134,38.85336827,75.39666033,109.6540125,58.17600663,102.3731296,69.60108485,118.6622721,27.74687124,53.27614122,96.83385348,140.3161324,85.69629147,80.84279421,120.5278118, 57.72761349297376]
impressionism_20.jpg2,['#596852', (89,104, 82),44.69643683,18.60188468,38.42825427,59.63877729,66.6019656,107.2278226,47.2157016,100.9526417,57.28818018,114.5120929,27.26155136,66.56311012,99.26446175,148.7279076,83.19383982,84.58300333,131.1304234, 47.92812042842415]
